PSS	Panini Special Sticker	Panini Special Sticker (PSS)
297	Xabi Alonso	Player Sticker
298	Cesc Fàbregas	Player Sticker
299	Andrés Iniesta	Player Sticker
300	Santi Cazorla	Player Sticker
301	Juan Mata	Player Sticker
302	David Silva	Player Sticker
303	Pedro Rodríguez	Player Sticker
304	David Villa	Player Sticker
305	Fernando Torres	Player Sticker
306	Fernando Llorente	Player Sticker
307	Iker Casillas	Sticker - In action
308	Xavi Hernández	Sticker - In action
309	Andrés Iniesta	Sticker - In action
310	Italia	Glitter - Official Mascot (Team)
311	Italia	Glitter - Badge
312	Italia	Team Sticker (puzzle)
313	Italia	Team Sticker (puzzle)
314	Italia	Team Sticker (puzzle)
315	Italia	Team Sticker (puzzle)
316	Gianluigi Buffon	Player Sticker
317	Morgan De Sanctis	Player Sticker
318	Giorgio Chiellini	Player Sticker
319	Andrea Barzagli	Player Sticker
320	Andrea Ranocchia	Player Sticker
321	Federico Balzaretti	Player Sticker
322	Domenico Criscito	Player Sticker
323	Christian Maggio	Player Sticker
324	Daniele De Rossi	Player Sticker
325	Andrea Pirlo	Player Sticker
326	Thiago Motta	Player Sticker
327	Claudio Marchisio	Player Sticker
328	Riccardo Montolivo	Player Sticker
329	Alberto Aquilani	Player Sticker
330	Simone Pepe	Player Sticker
331	Sebastian Giovinco	Player Sticker
332	Pablo Osvaldo	Player Sticker
333	Antonio Di Natale	Player Sticker
334	Giampaolo Pazzini	Player Sticker
335	Mario Balotelli	Player Sticker
336	Gianluigi Buffon	Sticker - In action
337	Daniele De Rossi	Sticker - In action
338	Mario Balotelli	Sticker - In action
339	Rep. of Ireland	Glitter - Official Mascot (Team)
340	Rep. of Ireland	Glitter - Badge
341	Rep. of Ireland	Team Sticker (puzzle)
342	Rep. of Ireland	Team Sticker (puzzle)
343	Rep. of Ireland	Team Sticker (puzzle)
344	Rep. of Ireland	Team Sticker (puzzle)
345	Shay Given	Player Sticker
346	Keiren Westwood	Player Sticker
347	Richard Dunne	Player Sticker
348	Sean St. Ledger	Player Sticker
349	John O'Shea	Player Sticker
350	Stephen Kelly	Player Sticker
351	Seamus Coleman	Player Sticker
352	Darron Gibson	Player Sticker
353	Keith Fahey	Player Sticker
354	Glenn Whelan	Player Sticker
355	Stephen Ward	Player Sticker
356	Keith Andrews	Player Sticker
357	Damien Duff	Player Sticker
358	Stephen Hunt	Player Sticker
359	Aiden McGeady	Player Sticker
360	Shane Long	Player Sticker
361	Simon Cox	Player Sticker
362	Kevin Doyle	Player Sticker
363	Jon Walters	Player Sticker
364	Robbie Keane	Player Sticker
365	Richard Dunne	Sticker - In action
366	Aiden McGeady	Sticker - In action
367	Robbie Keane	Sticker - In action
368	Hrvatska	Glitter - Official Mascot (Team)
369	Hrvatska	Glitter - Badge
370	Hrvatska	Team Sticker (puzzle)
371	Hrvatska	Team Sticker (puzzle)
372	Hrvatska	Team Sticker (puzzle)
373	Hrvatska	Team Sticker (puzzle)
374	Stipe Pletikosa	Player Sticker
375	Danijel Subašić	Player Sticker
376	Josip Šimunić	Player Sticker
377	Vedran Ćorluka	Player Sticker
378	Dejan Lovren	Player Sticker
379	Gordon Schildenfeld	Player Sticker
380	Ivan Strinić	Player Sticker
381	Domagoj Vida	Player Sticker
382	Darijo Srna	Player Sticker
383	Danijel Pranjić	Player Sticker
384	Ognjen Vukojević	Player Sticker
385	Tomislav Dujmović	Player Sticker
386	Niko Kranjčar	Player Sticker
387	Luka Modrić	Player Sticker
388	Ivan Rakitić	Player Sticker
389	Ivan Perišić	Player Sticker
390	Eduardo	Player Sticker
391	Mario Mandžukić	Player Sticker
392	Ivica Olić	Player Sticker
393	Nikica Jelavić	Player Sticker
394	Darijo Srna	Sticker - In action
395	Luka Modrić	Sticker - In action
396	Ivica Olić	Sticker - In action
397	Ukrajina	Glitter - Official Mascot (Team)
398	Ukrajina	Glitter - Badge
399	Ukrajina	Team Sticker (puzzle)
400	Ukrajina	Team Sticker (puzzle)
401	Ukrajina	Team Sticker (puzzle)
402	Ukrajina	Team Sticker (puzzle)
403	Andriy Dykan	Player Sticker
404	Olexandr Shovkovskiy	Player Sticker
405	Dmytro Chygrynskiy	Player Sticker
406	Olexandr Kucher	Player Sticker
407	Yaroslav Rakitskiy	Player Sticker
408	Artem Fedetskiy	Player Sticker
409	Bohdan Butko	Player Sticker
410	Yevhen Selin	Player Sticker
411	Ruslan Rotan	Player Sticker
412	Anatoliy Tymoshchuk	Player Sticker
413	Oleh Gusev	Player Sticker
414	Olexandr Aliyev	Player Sticker
415	Serhiy Nazarenko	Player Sticker
416	Yevhen Konoplyanka	Player Sticker
417	Marko Dević	Player Sticker
418	Andriy Voronin	Player Sticker
419	Andriy Yarmolenko	Player Sticker
420	Yevhen Seleznyov	Player Sticker
421	Artem Milevskiy	Player Sticker
422	Andriy Shevchenko	Player Sticker
423	Ruslan Rotan	Sticker - In action
424	Anatoliy Tymoshchuk	Sticker - In action
425	Andriy Shevchenko	Sticker - In action
426	Sverige	Glitter - Official Mascot (Team)
427	Sverige	Glitter - Badge
428	Sverige	Team Sticker (puzzle)
429	Sverige	Team Sticker (puzzle)
430	Sverige	Team Sticker (puzzle)
431	Sverige	Team Sticker (puzzle)
432	Andreas Isaksson	Player Sticker
433	Johan Wiland	Player Sticker
434	Mikael Lustig	Player Sticker
435	Daniel Majstorovic	Player Sticker
436	Olof Mellberg	Player Sticker
437	Andreas Granqvist	Player Sticker
438	Martin Olsson	Player Sticker
439	Oscar Wendt	Player Sticker
440	Behrang Safari	Player Sticker
441	Anders Svensson	Player Sticker
442	Kim Källström	Player Sticker
443	Rasmus Elm	Player Sticker
444	Sebastian Larsson	Player Sticker
445	Pontus Wernbloom	Player Sticker
446	Christian Wilhelmsson	Player Sticker
447	Emir Bajrami	Player Sticker
448	Tobias Hysén	Player Sticker
449	Ola Toivonen	Player Sticker
450	Johan Elmander	Player Sticker
451	Zlatan Ibrahimović	Player Sticker
452	Andreas Isaksson	Sticker - In action
453	Kim Källström	Sticker - In action
454	Zlatan Ibrahimović	Sticker - In action
455	France	Glitter - Official Mascot (Team)
456	France	Glitter - Badge
457	France	Team Sticker (puzzle)
458	France	Team Sticker (puzzle)
459	France	Team Sticker (puzzle)
460	France	Team Sticker (puzzle)
461	Hugo Lloris	Player Sticker
462	Steve Mandanda	Player Sticker
463	Patrice Evra	Player Sticker
464	Éric Abidal	Player Sticker
465	Adil Rami	Player Sticker
466	Philippe Mexès	Player Sticker
467	Mamadou Sakho	Player Sticker
468	Anthony Réveillère	Player Sticker
469	Bacary Sagna	Player Sticker
470	Florent Malouda	Player Sticker
471	Alou Diarra	Player Sticker
472	Yann M'Vila	Player Sticker
473	Marvin Martin	Player Sticker
474	Franck Ribéry	Player Sticker
475	Jérémy Menez	Player Sticker
476	Samir Nasri	Player Sticker
477	Olivier Giroud	Player Sticker
478	Kevin Gameiro	Player Sticker
479	Loïc Rémy	Player Sticker
480	Karim Benzema	Player Sticker
481	Hugo Lloris	Sticker - In action
482	Samir Nasri	Sticker - In action
483	Karim Benzema	Sticker - In action
484	England	Glitter - Official Mascot (Team)
485	England	Glitter - Badge
486	England	Team Sticker (puzzle)
487	England	Team Sticker (puzzle)
488	England	Team Sticker (puzzle)
489	England	Team Sticker (puzzle)
490	Joe Hart	Player Sticker
491	Scott Carson	Player Sticker
492	John Terry	Player Sticker
493	Ashley Cole	Player Sticker
494	Rio Ferdinand	Player Sticker
495	Gary Cahill	Player Sticker
496	Glen Johnson	Player Sticker
497	Phil Jones	Player Sticker
498	Gareth Barry	Player Sticker
499	Steven Gerrard	Player Sticker
500	Frank Lampard	Player Sticker
501	Scott Parker	Player Sticker
502	Jack Wilshere	Player Sticker
503	Ashley Young	Player Sticker
504	James Milner	Player Sticker
505	Theo Walcott	Player Sticker
506	Daniel Sturridge	Player Sticker
507	Danny Welbeck	Player Sticker
508	Darren Bent	Player Sticker
509	Wayne Rooney	Player Sticker
510	Steven Gerrard	Sticker - In action
511	Ashley Young	Sticker - In action
512	Wayne Rooney	Sticker - In action
513	1960 SSSR	Uefa European Championship History
514	1960 SSSR	Uefa European Championship History
515	1964 España	Uefa European Championship History
516	1964 España	Uefa European Championship History
517	1968 Italia	Uefa European Championship History
518	1968 Italia	Uefa European Championship History
519	1972 Deutschland-BRD	Uefa European Championship History
520	1972 Deutschland-BRD	Uefa European Championship History
